Environment_Type,Vertical/Industry,Company_Size,Hypervisor_Type,Storage_Type,Current_IT_Environment,Existing_Compute_Vendor,Existing_Switch_Vendor,Existing_Storage_Vendor,Current_Access_Protocol,Data_Protection_Strategy_Type,Current_Backup_Type,Current_Backup_Software,Existing_Cloud_Provider,AI_Readiness,Dell_Recommended_Server_Model,Dell_Recommended_Networking_Solution,Dell_Recommended_Storage_Product,Dell_Recommended_HCI_Solution,Dell_Recommended_Data_Protection_Solution,Cloud_UseCase_to_APEX_Mapping
Greenfield,Retail,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Mid,,Unified,Business Critical Modern Environment,Supermicro,Cisco,IBM,FC/iSCSI/NFS/NVMe,Backup,Full,Druva,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Media,Mid,,File,Active Archive NAS Environment,QNAP,Juniper,EMC,NFS,Snapshot,Differential,Veeam,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Finance,Enterprise,Hyper-V,Block,Hybrid Azure Cloud Environment,,,,FC/iSCSI,Backup,,,Azure,Not ready,,,,Dell AX System for Azure Local,,
Brownfield,IT Services,Large,,Object,S3 Environment,,Dell,,S3,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Manufacturing,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Legal,Mid,,File,Active Archive NAS Environment,Lenovo,Brocade,EMC,NFS,Archive,Differential,Veeam,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Dell Data Protection Suite for Archive,
Greenfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Government,SMB,Hyper-V,Block,Hybrid Azure Cloud Environment,HP,Dell,NetApp,FC/iSCSI,Backup,Full,Commvault,Azure,Not ready,,,,Dell AX System for Azure Local,,
Greenfield,Logistics,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Construction,SMB,,Block,Entry level Environment,,Dell,,FC/iSCSI,Backup,Full,Veeam,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerVault,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Energy,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Agriculture,Large,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Education,Mid,,File,Extreme performance NAS Environment,Dell,Dell,Dell,NFS,Snapshot,Incremental,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Insurance,Enterprise,,Block,Mission Critical Environment,,,,FC/iSCSI,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Brownfield,Pharma,Enterprise,,File,Extreme performance NAS Environment,HPE,Cisco,IBM,NFS,Snapshot,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Media,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Aerospace,Large,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Retail,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Incremental,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Finance,SMB,,Block,Entry level Environment,Lenovo,Brocade,EMC,FC/iSCSI,Archive,Differential,Veeam,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell Data Protection Suite for Archive,
Greenfield,Education,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Cisco,,multiprotocol,Backup,Incremental,Veeam,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Mining,Enterprise,,File,Hybrid NAS Environment,Dell,Cisco,EMC,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Retail,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Manufacturing,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,IT Services,Enterprise,Hyper-V,Block,Hybrid Azure Cloud Environment,HP,Cisco,NetApp,FC/iSCSI,Backup,Full,Druva,Azure,Not ready,,,,Dell AX System for Azure Local,,
Greenfield,Transportation,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Hospitality,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Retail,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Automotive,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
